Timestamp,I believe it is best to forgive and forget .,Being able to come up with new and different ideas is one of my strong points.,My friends say that I have lots of new and different ideas. ,I know how to handle myself in different social situations.,I enjoy being kind to others.,I finish things despite obstacles in the way.,I rarely call attention to myself.,I like to think of new ways to do things.,I know that I will succeed with the goals I set for myself.,What ATAR/IB did you expect to achieve in your final year of highschool? (round up value),What ATAR/IB did you actually achieve in your final year of highschool? (round up value)
04-04-19 13:03,Like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,43,41
04-04-19 13:21,Like me,Unlike me,Very unlike me,Very unlike me,Like me,Like me,Like me,Like me,Unlike me,95,99
04-04-19 13:29,Unlike me,Unlike me,Unlike me,Unlike me,Like me,Like me,Like me,Unlike me,Unlike me,85,97
04-04-19 13:37,Unlike me,Like me,Very like me,Like me,Very like me,Very like me,Very like me,Like me,Very like me,85,81
04-04-19 13:55,Very like me,Unlike me,Unlike me,Like me,Very like me,Like me,Like me,Like me,Like me,85,96
04-04-19 13:57,Unlike me,Like me,Like me,Very like me,Like me,Like me,Like me,Unlike me,Unlike me,99,97
04-04-19 13:58,Like me,Very like me,Like me,Very like me,Very like me,Like me,Unlike me,Very like me,Like me,99,99
04-04-19 13:58,Like me,Very unlike me,Very unlike me,Very unlike me,Like me,Very unlike me,Very like me,Very unlike me,Very unlike me,98,96
04-04-19 13:59,Unlike me,Like me,Like me,Unlike me,Like me,Like me,Like me,Like me,Like me,99,99
04-04-19 14:01,Very like me,Very like me,Like me,Like me,Like me,Unlike me,Like me,Like me,Like me,99,87
04-04-19 14:05,Like me,Like me,Very like me,Like me,Very like me,Like me,Unlike me,Like me,Like me,93,88
04-04-19 14:07,Like me,Like me,Like me,Very unlike me,Unlike me,Very like me,Like me,Like me,Unlike me,88,99
04-04-19 14:20,Like me,Very like me,Like me,Unlike me,Like me,Like me,Very like me,Like me,Unlike me,98,99
04-04-19 16:11,Like me,Like me,Like me,Unlike me,Like me,Unlike me,Like me,Unlike me,Like me,88,96
04-04-19 16:30,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,99,31
04-04-19 16:36,Like me,Unlike me,Unlike me,Like me,Very like me,Like me,Like me,Like me,Like me,99,99
04-07-19 15:10,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,99,97
