I believe it is best to forgive and forget.,Being able to come up with new and different ideas is one of my strong points.,My friends say that I have lots of new and different ideas. ,I know how to handle myself in different social situations.,I enjoy being kind to others.,I finish things despite obstacles in the way.,I rarely call attention to myself.,I like to think of new ways to do things.,I know that I will succeed with the goals I set for myself.,What ATAR did you expect to achieve in your final year of highschool? (round up value),What ATAR did you actually achieve in your final year of highschool? (round up value)
Like me,Very like me,Very like me,Very like me,Like me,Very like me,Unlike me,Very like me,Very like me,85,70
Very like me,Unlike me,Unlike me,Like me,Like me,Like me,Very like me,Unlike me,Unlike me,70,83
Like me,Very like me,Very like me,Like me,Very like me,Very like me,Unlike me,Like me,Very like me,94,98
Very like me,Like me,Like me,Unlike me,Very like me,Unlike me,Like me,Like me,Like me,85,78
Like me,Unlike me,Unlike me,Like me,Very like me,Very like me,Like me,Like me,Like me,90,85
Like me,Very like me,Like me,Very like me,Very like me,Very like me,Like me,Unlike me,Like me,90,89
Like me,Like me,Like me,Like me,Very like me,Very like me,Unlike me,Like me,Very like me,86,82
Like me,Very like me,Very like me,Like me,Very like me,Like me,Unlike me,Like me,Like me,75,73
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,99,99
Unlike me,Like me,Like me,Very like me,Very like me,Very like me,Like me,Like me,Like me,95,97.6
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,99,99
Like me,Very like me,Like me,Like me,Very like me,Very like me,Like me,Like me,Very like me,85,84
Like me,Very unlike me,Unlike me,Very like me,Very like me,Like me,Like me,Unlike me,Like me,85,90
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,98,98
Very like me,Like me,Like me,Very like me,Very like me,Very like me,Like me,Very like me,Very like me,92,94
Very like me,Very like me,Like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,80,98.4
Like me,Unlike me,Unlike me,Like me,Very like me,Like me,Like me,Unlike me,Unlike me,85,80
Like me,Unlike me,Like me,Like me,Very like me,Like me,Like me,Very like me,Like me,95,97
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,95,99
Very like me,Like me,Like me,Like me,Very like me,Like me,Like me,Like me,Like me,75,76
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very unlike me,Very like me,Very like me,99,99
Like me,Like me,Very like me,Like me,Very like me,Like me,Like me,Very like me,Like me,90,95
Unlike me,Like me,Very like me,Like me,Very like me,Like me,Like me,Like me,Very unlike me,91,75
Very like me,Like me,Very like me,Like me,Very like me,Like me,Very like me,Very like me,Like me,95,95
Like me,Like me,Unlike me,Very like me,Like me,Like me,Like me,Like me,Like me,80,85
Very unlike me,Very like me,Very like me,Very like me,Very like me,Very like me,Very unlike me,Very like me,Very like me,99,99
Very like me,Very like me,Like me,Very like me,Like me,Very like me,Like me,Very like me,Like me,92,95
Unlike me,Unlike me,Unlike me,Very unlike me,Like me,Like me,Very like me,Unlike me,Unlike me,80,90
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,85,70
Very like me,Like me,Unlike me,Very like me,Very like me,Very like me,Like me,Unlike me,Very like me,90,96
Unlike me,Like me,Like me,Like me,Very like me,Like me,Very like me,Like me,Like me,85,90.2
Like me,Like me,Like me,Very like me,Like me,Like me,Like me,Like me,Like me,99,95
Like me,Unlike me,Very unlike me,Very unlike me,Like me,Like me,Like me,Like me,Unlike me,95,99
Unlike me,Unlike me,Unlike me,Unlike me,Like me,Like me,Like me,Unlike me,Unlike me,85,97
Unlike me,Like me,Very like me,Like me,Very like me,Very like me,Very like me,Like me,Very like me,85,81
Very like me,Unlike me,Unlike me,Like me,Very like me,Like me,Like me,Like me,Like me,85,96
Unlike me,Like me,Like me,Very like me,Like me,Like me,Like me,Unlike me,Unlike me,99,97
Like me,Very like me,Like me,Very like me,Very like me,Like me,Unlike me,Very like me,Like me,99,99
Like me,Very unlike me,Very unlike me,Very unlike me,Like me,Very unlike me,Very like me,Very unlike me,Very unlike me,98,96
Unlike me,Like me,Like me,Unlike me,Like me,Like me,Like me,Like me,Like me,99,99
Very like me,Very like me,Like me,Like me,Like me,Unlike me,Like me,Like me,Like me,99,87
Like me,Like me,Very like me,Like me,Very like me,Like me,Unlike me,Like me,Like me,93,88
Like me,Like me,Like me,Very unlike me,Unlike me,Very like me,Like me,Like me,Unlike me,88,99
Like me,Very like me,Like me,Unlike me,Like me,Like me,Very like me,Like me,Unlike me,98,99
Like me,Like me,Like me,Unlike me,Like me,Unlike me,Like me,Unlike me,Like me,88,96
Like me,Unlike me,Unlike me,Like me,Very like me,Like me,Like me,Like me,Like me,99,99
Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,Very like me,99,97
Very like me,Very like me,Very like me,Like me,Very like me,Very like me,Like me,Very like me,Very like me,99,96
