I believe it is best to forgive and forget.,Being able to come up with new and different ideas is one of my strong points.,My friends say that I have lots of new and different ideas. ,I know how to handle myself in different social situations.,I enjoy being kind to others.,I finish things despite obstacles in the way.,I rarely call attention to myself.,I like to think of new ways to do things.,I know that I will succeed with the goals I set for myself.,What ATAR did you expect to achieve in your final year of highschool? (round up value),What ATAR did you actually achieve in your final year of highschool? (round up value)
3,Very like me,4,Very like me,Like me,4,Unlike me,4,Very like me,85,70
4,Unlike me,2,Like me,Like me,3,Very like me,1,Unlike me,70,83
3,Very like me,4,Like me,Very like me,4,Unlike me,3,Very like me,94,98
4,Like me,3,Unlike me,Very like me,2,Like me,3,Like me,85,78
3,Unlike me,2,Like me,Very like me,4,Like me,3,Like me,90,85
3,Very like me,3,Very like me,Very like me,4,Like me,2,Like me,90,89
3,Like me,3,Like me,Very like me,4,Unlike me,3,Very like me,86,82
3,Very like me,4,Like me,Very like me,1,Unlike me,3,Like me,75,73
4,Very like me,4,Very like me,Very like me,4,Very like me,4,Very like me,99,99
2,Like me,3,Very like me,Very like me,4,Like me,3,Like me,95,97.6
4,Very like me,4,Very like me,Very like me,4,Very like me,4,Very like me,99,99
3,Very like me,3,Like me,Very like me,4,Like me,3,Very like me,85,84
3,Very unlike me,2,Very like me,Very like me,3,Like me,2,Like me,85,90
4,Very like me,4,Very like me,Very like me,4,Very like me,4,Very like me,98,98
4,Like me,3,Very like me,Very like me,4,Like me,4,Very like me,92,94
4,Very like me,3,Very like me,Very like me,4,Very like me,4,Very like me,80,98.4
3,Unlike me,2,Like me,Very like me,3,Like me,2,Unlike me,85,80
3,Unlike me,3,Like me,Very like me,3,Like me,4,Like me,95,97
4,Very like me,4,Very like me,Very like me,4,Very like me,4,Very like me,95,99
4,Like me,3,Like me,Very like me,3,Like me,3,Like me,75,76
4,Very like me,4,Very like me,Very like me,4,Very unlike me,4,Very like me,99,99
3,Like me,4,Like me,Very like me,3,Like me,4,Like me,90,95
2,Like me,4,Like me,Very like me,3,Like me,3,Very unlike me,91,75
4,Like me,4,Like me,Very like me,3,Very like me,4,Like me,95,95
3,Like me,2,Very like me,Like me,3,Like me,3,Like me,80,85
1,Very like me,4,Very like me,Very like me,4,Very unlike me,4,Very like me,99,99
4,Very like me,3,Very like me,Like me,4,Like me,4,Like me,92,95
2,Unlike me,2,Very unlike me,Like me,3,Very like me,2,Unlike me,80,90
4,Very like me,4,Very like me,Very like me,4,Very like me,4,Very like me,85,70
4,Like me,2,Very like me,Very like me,4,Like me,2,Very like me,90,96
2,Like me,3,Like me,Very like me,3,Very like me,3,Like me,85,90.2
3,Like me,3,Very like me,Like me,3,Like me,3,Like me,99,95
3,Unlike me,1,Very unlike me,Like me,3,Like me,3,Unlike me,95,99
2,Unlike me,2,Unlike me,Like me,3,Like me,2,Unlike me,85,97
2,Like me,4,Like me,Very like me,4,Very like me,3,Very like me,85,81
4,Unlike me,2,Like me,Very like me,3,Like me,3,Like me,85,96
2,Like me,3,Very like me,Like me,3,Like me,2,Unlike me,99,97
3,Very like me,3,Very like me,Very like me,3,Unlike me,4,Like me,99,99
3,Very unlike me,1,Very unlike me,Like me,1,Very like me,1,Very unlike me,98,96
2,Like me,3,Unlike me,Like me,3,Like me,3,Like me,99,99
4,Very like me,3,Like me,Like me,2,Like me,3,Like me,99,87
3,Like me,4,Like me,Very like me,3,Unlike me,3,Like me,93,88
3,Like me,3,Very unlike me,Unlike me,4,Like me,3,Unlike me,88,99
3,Very like me,3,Unlike me,Like me,3,Very like me,3,Unlike me,98,99
3,Like me,3,Unlike me,Like me,2,Like me,2,Like me,88,96
3,Unlike me,2,Like me,Very like me,3,Like me,3,Like me,99,99
4,Very like me,4,Very like me,Very like me,4,Very like me,4,Very like me,99,97
